Instance, X-n376-k94
capacity, 4
min_trucks, 94
output_file, output_uchoa/X-n376-k94-ng20.log
Start date, 2022-06-23
Start time, 16-25-26
capacity, 4
num_vehicles, 94
abort_early, False
methods, ['ng20']
max_vars, 1000000
time_limit, 86400
farley, False
initial time, initial max_it, max_stale_it
1e-05, 2000000000.0, 20
heuristic Number of routes, heuristic Best Solution Value, heuristic number of iterations, adjusted time, adjusted max_it
8697, 147839.0, 5181, 1.0, 20000.0
method, python time, total time, propagated dominance time, unpropagated dominance time, pricing_success, upper_bound, lower_bound, abort_early, num_paths, 
ng20, 0.2, 1.7, 0.7, 0.6, 1, 147387.7152, 45237.4879, 0, 749
ng20, 0.4, 9.6, 2.7, 5.7, 1, 147387.7152, 135505.2606, 0, 2486
ng20, 0.1, 15.8, 4.1, 10.2, 1, 147308.6597, 143023.8264, 0, 243
ng20, -0.0, 17.4, 4.6, 11.2, 1, 147300.2476, 146493.4143, 0, 14
ng20, 0.0, 17.4, 4.6, 11.2, 1, 147298.8032, 147015.7587, 0, 4
ng20, 0.0, 17.6, 4.7, 11.3, 1, 147298.8032, 147298.8032, 0, 0
scip_total_time, 5330.292652
Solval, number of paths, impact cutoff
147298.80317460318, 221, 0.0001
Elementary, 2-Cycle, Path Value, Path
True, True, 1.0, (0, 122, 147, 217, 167, 0)
True, True, 1.0, (0, 43, 230, 242, 39, 0)
True, True, 1.0, (0, 231, 90, 152, 358, 0)
True, True, 1.0, (0, 30, 199, 294, 227, 0)
True, True, 1.0, (0, 76, 300, 55, 299, 0)
True, True, 1.0, (0, 331, 198, 178, 250, 0)
True, True, 0.3333, (0, 18, 221, 184, 255, 0)
True, True, 0.6667, (0, 97, 133, 287, 270, 0)
True, True, 1.0, (0, 35, 342, 340, 280, 0)
True, True, 0.25, (0, 188, 109, 120, 26, 0)
True, True, 0.25, (0, 290, 352, 371, 240, 0)
True, True, 0.2083, (0, 264, 105, 361, 239, 0)
True, True, 0.85, (0, 275, 317, 93, 211, 0)
True, True, 1.0, (0, 121, 357, 60, 318, 0)
True, True, 0.5556, (0, 73, 236, 253, 140, 0)
True, True, 0.5, (0, 98, 204, 233, 344, 0)
True, True, 0.5833, (0, 164, 146, 79, 179, 0)
True, True, 0.5, (0, 355, 62, 172, 176, 0)
True, True, 0.25, (0, 115, 346, 254, 359, 0)
True, True, 0.1667, (0, 314, 213, 131, 31, 0)
True, True, 0.8, (0, 170, 159, 157, 102, 0)
True, True, 1.0, (0, 337, 34, 123, 85, 0)
True, True, 0.6667, (0, 46, 354, 288, 87, 0)
True, True, 1.0, (0, 54, 132, 168, 309, 0)
True, True, 1.0, (0, 326, 308, 281, 25, 0)
True, True, 1.0, (0, 283, 356, 306, 1, 0)
True, True, 0.5, (0, 68, 143, 274, 177, 0)
True, True, 1.0, (0, 47, 203, 329, 366, 0)
True, True, 0.3333, (0, 267, 141, 71, 362, 0)
True, True, 0.8937, (0, 311, 279, 372, 14, 0)
True, True, 0.5, (0, 64, 345, 51, 112, 0)
True, True, 0.1667, (0, 154, 323, 191, 180, 0)
True, True, 0.8095, (0, 96, 245, 65, 171, 0)
True, True, 0.5238, (0, 259, 339, 195, 273, 0)
True, True, 0.5, (0, 186, 214, 28, 321, 0)
True, True, 0.25, (0, 335, 92, 336, 75, 0)
True, True, 0.2766, (0, 272, 162, 165, 174, 0)
